sleep,stress,focus,screen_time,risk_score,risk_level
5.9,2.7,3.4,10.1,56,Moderate
8.8,5.9,3.2,11.6,59,Moderate
7.7,8.9,9.2,5.0,44,Low
7.0,7.6,3.2,9.5,69,Moderate
4.8,8.3,3.4,8.9,73,Moderate
4.8,6.9,7.8,12.0,65,Moderate
4.3,7.2,5.0,12.9,73,Moderate
8.3,8.6,8.0,2.1,30,Low
7.0,3.2,1.6,10.1,50,Moderate
7.5,5.4,5.4,2.6,34,Low
4.1,3.0,1.3,8.6,57,Moderate
8.8,9.9,1.6,5.5,61,Moderate
8.2,9.5,9.2,5.7,45,Moderate
5.1,1.4,2.3,6.2,42,Low
4.9,7.4,5.8,9.5,61,Moderate
4.9,9.3,4.7,6.0,74,Moderate
5.5,2.6,4.1,10.8,46,Moderate
6.6,6.1,9.1,6.9,39,Low
6.2,9.2,1.2,2.8,57,Moderate
5.5,1.3,7.0,11.4,38,Low
7.1,7.3,9.7,5.4,47,Moderate
4.7,3.7,6.0,7.2,48,Moderate
5.5,9.3,9.4,10.2,74,Moderate
5.8,9.7,1.5,6.0,78,High
6.3,9.5,4.8,2.7,52,Moderate
7.9,5.3,3.3,6.5,43,Low
5.0,8.8,7.6,13.3,76,High
6.6,8.6,9.8,9.7,66,Moderate
7.0,3.9,3.3,10.1,45,Moderate
4.2,8.5,6.9,9.6,77,High
7.0,1.3,2.8,4.4,31,Low
4.9,6.4,6.1,7.0,66,Moderate
4.3,3.1,5.2,11.0,53,Moderate
8.7,2.1,9.7,3.2,10,Low
8.8,1.7,6.5,5.3,28,Low
8.0,7.3,4.1,5.3,46,Moderate
5.5,4.1,2.0,7.2,45,Moderate
4.5,7.5,2.4,13.8,78,High
7.4,1.6,3.0,2.8,25,Low
6.2,3.8,3.3,8.2,40,Low
4.6,5.9,8.7,4.2,41,Low
6.5,8.1,6.1,13.6,78,High
4.2,3.9,5.7,3.4,40,Low
8.5,6.6,2.0,6.8,55,Moderate
5.3,9.0,8.7,10.9,72,Moderate
7.3,6.5,7.5,10.5,61,Moderate
5.6,3.1,1.6,7.1,44,Low
6.6,1.2,7.4,6.2,19,Low
6.7,8.8,5.9,6.8,57,Moderate
4.9,1.2,1.7,5.2,41,Low
8.8,8.9,5.1,4.5,54,Moderate
7.9,5.8,5.4,7.8,49,Moderate
8.7,9.5,2.5,5.2,66,Moderate
8.5,8.2,9.5,5.4,35,Low
7.0,10.0,8.6,9.9,76,High
8.6,4.2,7.0,13.6,56,Moderate
4.4,7.9,5.2,9.2,76,High
5.0,4.6,4.7,2.9,50,Moderate
4.2,5.3,6.9,2.9,34,Low
5.6,6.6,5.9,13.4,69,Moderate
5.9,8.9,1.6,5.6,66,Moderate
5.4,9.9,5.6,3.1,65,Moderate
8.1,7.9,8.3,9.2,48,Moderate
5.8,4.8,5.1,9.5,58,Moderate
5.4,4.8,1.5,9.8,71,Moderate
6.7,7.6,8.1,5.2,51,Moderate
4.7,3.1,2.8,2.2,38,Low
8.0,2.0,3.3,13.6,43,Low
4.4,4.2,2.5,5.0,46,Moderate
8.9,3.6,4.0,10.1,48,Moderate
7.9,3.7,7.8,10.5,43,Low
5.0,3.1,5.7,9.3,48,Moderate
4.0,1.4,2.8,5.8,38,Low
8.1,1.2,8.9,5.3,2,Low
7.5,9.9,8.9,9.2,57,Moderate
7.6,4.8,8.8,12.4,57,Moderate
7.9,4.5,3.1,13.4,53,Moderate
4.4,7.1,5.1,3.3,55,Moderate
5.8,3.0,9.9,3.9,28,Low
4.6,9.5,7.9,13.3,78,High
8.3,8.1,1.2,10.8,72,Moderate
7.1,1.8,1.6,12.6,56,Moderate
5.7,4.8,5.2,4.4,42,Low
4.3,8.9,9.2,9.1,83,High
5.6,9.5,5.8,10.4,69,Moderate
5.6,5.2,5.5,10.2,63,Moderate
7.6,6.5,1.9,6.9,55,Moderate
7.2,2.5,6.9,2.2,21,Low
8.4,9.9,8.4,9.0,63,Moderate
6.4,3.1,4.4,5.0,31,Low
4.6,9.5,8.0,7.4,70,Moderate
7.6,6.8,9.7,13.5,49,Moderate
7.8,6.5,2.8,6.8,56,Moderate
6.8,5.6,5.7,12.1,61,Moderate
7.9,3.1,3.6,4.3,33,Low
6.5,2.6,8.1,10.1,43,Low
6.6,3.0,6.2,13.7,54,Moderate
6.1,2.7,6.7,3.2,25,Low
4.1,8.0,8.2,2.1,46,Moderate
4.5,4.2,4.6,7.2,48,Moderate
4.2,1.5,9.2,3.1,27,Low
7.2,9.7,5.8,11.0,81,High
